id	site	country	latitude	longitude	coord_source	period	fauna_source	taxon	occurrence	geometry
2	Abu Hureyra	Syria	35.867	38.4	Schyle & Uerpmann 1996	Protoneolithic	Moore, Hillman & Legge 1975	Equus	1	c(394692.703588336, 435521.440033392)
2	Abu Hureyra	Syria	35.867	38.4	Schyle & Uerpmann 1996	Early Neolithic	Moore, Hillman & Legge 1975	Equus	1	c(394692.703588336, 435521.440033392)
2	Abu Hureyra	Syria	35.867	38.4	Schyle & Uerpmann 1996	Late Neolithic	Moore, Hillman & Legge 1975	Equus	1	c(394692.703588336, 435521.440033392)
8	Ain Mallaha	Israel	33.13	35.58	CONTEXT	Protoneolithic	Ducos 1968, for Canis see Davis & Valla 1978	Equus	1	c(134838.049742573, 132901.947768156)
12	Amuq	Turkey	36.268	36.587	Yener 2005	Late Neolithic	Stampfli 1983	Equus	1	c(231315.09083293, 479779.19246715)
14	Apamee, Tell	Syria	35.491	36.402	Pleiades	Late Neolithic	Gautier 1977	Equus	1	c(213880.699852039, 393722.284344744)
19	Aşıklı Hüyük	Turkey	38.35	34.23	CONTEXT	Early Neolithic	Payne 1985	Equus	1	c(26829.7353281366, 714932.07074722)
26	Beersheba – Bir es-Safadi	Israel	32.931	35.408	Pleiades	Late Neolithic	Josien 1955; Ducos 1968	Equus	1	c(118365.035745402, 111132.039859318)
27	Beersheba – Horvat Beter	Israel	32.931	35.408	Pleiades	Late Neolithic	Angress 1959	Equus	1	c(118365.035745402, 111132.039859318)
28	Beidha	Jordan	30.37	35.45	CONTEXT	Early Neolithic	Hecker 1974, 1982	Equus	1	c(116933.788271583, -173144.152248296)
29	Beisamoun	Israel	33.093	35.58	Bocquentin et al. 2011	Early Neolithic	Davis 1978	Equus	1	c(134765.982487938, 128799.293080832)
37	Çatal Hüyük	Turkey	37.668	32.828	Pleiades	Early Neolithic	Perkins 1969	Equus	1	c(-99252.4381309696, 643861.280826802)
45	Der, Tell ed-	Iraq	33.099	44.299	Pleiades	Bronze Age	Bökönyi 1978	Equus	1	c(948180.384285599, 150370.652852057)
49	Dosariyah, Abu Khamis, and Ain Qannas	Saudi Arabia	26.94	49.71	CONTEXT	Late Neolithic	Zeder pers. comm.	Equus	1	c(1534724.78118093, -481124.366019959)
55	Eli, Tel	Israel	32.5	35.5	Kopp & Röllig 1994	Early Neolithic	Jarman 1974	Equus	1	c(126091.239650483, 63173.5517499667)
55	Eli, Tel	Israel	32.5	35.5	Kopp & Röllig 1994	Late Neolithic	Jarman 1974	Equus	1	c(126091.239650483, 63173.5517499667)
64	Gat-Govrin	Israel	31.583	34.833	Kopp & Röllig 1994	Late Neolithic	Ducos 1968	Equus	1	c(60860.3577528186, -37182.1881794052)
70	Girikihaciyan	Turkey	38.233	39.967	Watson 1990	Late Neolithic	Mcardle 1974	Equus	1	c(529478.95102614, 700674.292793567)
75	Hagoshrim	Israel	33.221	35.624	vici:57351	Late Neolithic	Ducos 1986	Equus	1	c(138999.031937357, 142961.135014899)
79	Hayaz Hüyük	Turkey	37.563	38.357	vici:57511	Early Neolithic	Buitenhuis pers. comm.; Clason 1985	Equus	1	c(389054.083250308, 623682.003704047)
79	Hayaz Hüyük	Turkey	37.563	38.357	vici:57511	Late Neolithic	Buitenhuis pers. comm.; Clason 1985	Equus	1	c(389054.083250308, 623682.003704047)
87	Iǧrat al-Mihad	Egypt	28.5	33.5	Kopp & Röllig 1994	Early Neolithic	Bar-Yosef 1981	Equus	1	c(-78827.711500429, -375668.990439082)
90	Jericho	Israel	31.86	35.47	CONTEXT	Protoneolithic	Clutton-Brock 1979; Nobis 1968	Equus	1	c(121946.844248254, -7767.03694464226)
90	Jericho	Israel	31.86	35.47	CONTEXT	Early Neolithic	Clutton-Brock 1979; Nobis 1968	Equus	1	c(121946.844248254, -7767.03694464226)
90	Jericho	Israel	31.86	35.47	CONTEXT	Late Neolithic	Clutton-Brock 1979; Nobis 1968	Equus	1	c(121946.844248254, -7767.03694464226)
90	Jericho	Israel	31.86	35.47	CONTEXT	Bronze Age	Clutton-Brock 1979; Nobis 1968	Equus	1	c(121946.844248254, -7767.03694464226)
90	Jericho	Israel	31.86	35.47	CONTEXT	Iron Age	Clutton-Brock 1979; Nobis 1968	Equus	1	c(121946.844248254, -7767.03694464226)
90	Jericho	Israel	31.86	35.47	CONTEXT	Hellenistic	Clutton-Brock 1979; Nobis 1968	Equus	1	c(121946.844248254, -7767.03694464226)
90	Jericho	Israel	31.86	35.47	CONTEXT	Roman	Clutton-Brock 1979; Nobis 1968	Equus	1	c(121946.844248254, -7767.03694464226)
90	Jericho	Israel	31.86	35.47	CONTEXT	Byzantine	Clutton-Brock 1979; Nobis 1968	Equus	1	c(121946.844248254, -7767.03694464226)
93	Karataş-Semayük	Turkey	38.917	39	Schyle 1992	Bronze Age	Hesse & Perkins 1974	Equus	1	c(443449.029587262, 774948.358547301)
98	Khiam, al-	Israel	31.633	35.267	Schyle & Uerpmann 1996	Epipalaeolithic	Vaufrey 1951; Ducos 1968	Equus	1	c(102202.820037935, -32575.1498092698)
98	Khiam, al-	Israel	31.633	35.267	Schyle & Uerpmann 1996	Early Neolithic	Vaufrey 1951; Ducos 1968	Equus	1	c(102202.820037935, -32575.1498092698)
107	Mdamagh	Jordan	30.333	35.45	Schyle 1992	Epipalaeolithic	Perkins 1966; Uerpmann 1987	Equus	1	c(116856.276840709, -177254.755901992)
113	Metzer	Israel	32.417	35	Kopp & Röllig 1994	Late Neolithic	Ducos 1968	Equus	1	c(78881.7994125667, 54948.4567198391)
115	Munhatta	Israel	32.5	35.5	Kopp & Röllig 1994	Early Neolithic	Ducos 1968	Equus	1	c(126091.239650483, 63173.5517499667)
